numSamples, numHistograms, histSize, k, branching, meanTime, stddevTime
500, 56, 41, 4, 4, 399.31, 23.0146
500, 56, 41, 8, 8, 539.12, 24.2505
500, 56, 41, 16, 16, 801.27, 30.9182
500, 56, 41, 32, 32, 1223.02, 112.22
500, 56, 41, 64, 64, 2083.02, 326.288
1000, 56, 41, 4, 4, 966.06, 34.3211
1000, 56, 41, 8, 8, 1266.71, 46.47
1000, 56, 41, 16, 16, 1796.76, 35.8533
1000, 56, 41, 32, 32, 2901.6, 37.4015
1000, 56, 41, 64, 64, 4984.79, 209.571
2500, 56, 41, 4, 4, 2972.4, 57.1321
2500, 56, 41, 8, 8, 3922.36, 60.9026
2500, 56, 41, 16, 16, 5587.16, 151.667
2500, 56, 41, 32, 32, 8471.34, 103.84
2500, 56, 41, 64, 64, 13026.5, 199.004
5000, 56, 41, 4, 4, 6826.14, 81.9706
5000, 56, 41, 8, 8, 8951.53, 92.5986
5000, 56, 41, 16, 16, 13314.9, 186.758
5000, 56, 41, 32, 32, 19390.8, 299.425
5000, 56, 41, 64, 64, 30380.5, 205.273
7500, 56, 41, 4, 4, 10962.1, 110.314
7500, 56, 41, 8, 8, 14355.6, 115.852
7500, 56, 41, 16, 16, 21228.9, 181.93
7500, 56, 41, 32, 32, 31812.5, 508.67
7500, 56, 41, 64, 64, 49244.7, 426.448
10000, 56, 41, 4, 4, 15290.6, 134.297
10000, 56, 41, 8, 8, 20051, 158.493
10000, 56, 41, 16, 16, 29326.3, 171.57
10000, 56, 41, 32, 32, 45204.9, 629.792
10000, 56, 41, 64, 64, 69004, 589.371
