numSamples, numHistograms, histSize, k, branching, meanTime, stddevTime
500, 56, 41, 2, 2, 195.17, 10.0575
500, 56, 41, 4, 2, 198.83, 8.91945
500, 56, 41, 8, 2, 198.88, 8.77241
500, 56, 41, 16, 2, 206.87, 9.15595
500, 56, 41, 32, 2, 225.5, 10.6006
500, 56, 41, 64, 2, 263.7, 9.27634
1000, 56, 41, 2, 2, 501.06, 24.7838
1000, 56, 41, 4, 2, 507.94, 21.0616
1000, 56, 41, 8, 2, 518.24, 20.4579
1000, 56, 41, 16, 2, 538.93, 22.6074
1000, 56, 41, 32, 2, 575.67, 23.6259
1000, 56, 41, 64, 2, 648.73, 22.0756
2500, 56, 41, 2, 2, 1542.65, 43.7969
2500, 56, 41, 4, 2, 1494.33, 55.6466
2500, 56, 41, 8, 2, 1523.24, 43.6439
2500, 56, 41, 16, 2, 1546.08, 37.9507
2500, 56, 41, 32, 2, 1642.04, 38.4503
2500, 56, 41, 64, 2, 1801.8, 48.6388
5000, 56, 41, 2, 2, 3342.11, 65.2707
5000, 56, 41, 4, 2, 3350.06, 68.0524
5000, 56, 41, 8, 2, 3390.17, 59.7971
5000, 56, 41, 16, 2, 3502.72, 84.2193
5000, 56, 41, 32, 2, 3649.26, 63.4644
5000, 56, 41, 64, 2, 4779.14, 207.257
7500, 56, 41, 2, 2, 6472.97, 167.212
7500, 56, 41, 4, 2, 6644.82, 214.324
7500, 56, 41, 8, 2, 6460.64, 98.5639
7500, 56, 41, 16, 2, 6637.45, 153.318
7500, 56, 41, 32, 2, 7363.81, 650.101
7500, 56, 41, 64, 2, 7520.53, 231.935
10000, 56, 41, 2, 2, 8387.29, 218.403
10000, 56, 41, 4, 2, 8266.23, 121.716
10000, 56, 41, 8, 2, 8256.24, 127.954
10000, 56, 41, 16, 2, 8579.75, 132.294
10000, 56, 41, 32, 2, 8888.33, 112.316
10000, 56, 41, 64, 2, 9808.14, 215.91


